date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:53:07	24/24	---M--	200	added ('OK')	text/plain	etag:%225f7c972f-18%22	http://vac-smws.test/robots.txt		(from )
14:53:09	314/314	---MC-	302	error ('Found')	text/html	date:Tue,%2023%20Feb%202021%2006:53:08%20GMT	http://vac-smws.test/	/Users/driftkingtw/websites/vac-smws/vac-smws.test/index.html	(from )
14:53:10	94575/94575	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2006:53:09%20GMT	http://vac-smws.test/application/form	/Users/driftkingtw/websites/vac-smws/vac-smws.test/application/form.html	(from http://vac-smws.test/)
14:53:10	418/418	---M--	200	added ('OK')	text/css	etag:%225fffd600-1a2%22	http://vac-smws.test/css/custom.css	/Users/driftkingtw/websites/vac-smws/vac-smws.test/css/custom.css	(from http://vac-smws.test/application/form)
14:53:11	4345/4345	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2006:53:11%20GMT	http://vac-smws.test/application/index	/Users/driftkingtw/websites/vac-smws/vac-smws.test/application/index.html	(from http://vac-smws.test/application/form)
14:53:12	6032/6032	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2006:53:12%20GMT	http://vac-smws.test/login	/Users/driftkingtw/websites/vac-smws/vac-smws.test/login.html	(from http://vac-smws.test/application/form)
14:53:13	94575/94575	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2006:53:13%20GMT	http://vac-smws.test/application/form/1	/Users/driftkingtw/websites/vac-smws/vac-smws.test/application/form/1.html	(from http://vac-smws.test/application/form)
14:53:14	64185/64185	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Feb%202021%2006:53:14%20GMT	http://vac-smws.test/application/form/2	/Users/driftkingtw/websites/vac-smws/vac-smws.test/application/form/2.html	(from http://vac-smws.test/application/form)
14:53:27	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%225f879e62-15d84%22	http://vac-smws.test/js/jquery-3.5.1.min.js	/Users/driftkingtw/websites/vac-smws/vac-smws.test/js/jquery-3.5.1.min.js	(from http://vac-smws.test/application/form)
14:53:31	51830/51830	---M--	200	added ('OK')	image/gif	etag:%225fffd5bf-ca76%22	http://vac-smws.test/Spinner-1s-124px.gif	/Users/driftkingtw/websites/vac-smws/vac-smws.test/Spinner-1s-124px.gif	(from http://vac-smws.test/css/custom.css)
14:55:01	1194960/1194960	---M--	200	added ('OK')	application/javascript	etag:%225f7ac24e-123bd0%22	http://vac-smws.test/js/fa-all.min.js	/Users/driftkingtw/websites/vac-smws/vac-smws.test/js/fa-all.min.js	(from http://vac-smws.test/application/form)
